"","Date received","Product","Sub-product","Issue","Sub-issue","Consumer complaint narrative","Company public response","Company","State","ZIP code","Tags","Consumer consent provided?","Submitted via","Date sent to company","Company response to consumer","Timely response?","Consumer disputed?","Complaint ID"
"3501",2013-09-02,"Consumer Loan","Vehicle loan","Problems when you are unable to pay","Other","Other","Other","BB&T Financial","NC","27127","Other","Other","Web",2013-09-03,"Closed with explanation","Yes","Yes",511704
"3502",2013-09-09,"Credit card","Other","Other","Other","Other","Other","Citibank","MN","56072","Older American, Servicemember","Other","Phone",2013-09-10,"Closed with monetary relief","Yes","No",520331
"3503",2013-09-02,"Mortgage","FHA mortgage","Application, originator, mortgage broker","Other","Other","Other","Bank of America","FL","33635","Other","Other","Web",2013-09-03,"Closed with explanation","Yes","No",512041
"3504",2013-09-09,"Mortgage","Conventional adjustable mortgage (ARM)","Loan servicing, payments, escrow account","Other","Other","Other","Bank of America","NY","10116","Other","Other","Phone",2013-09-10,"Closed with explanation","Yes","Yes",520335
"3505",2013-09-19,"Mortgage","Conventional adjustable mortgage (ARM)","Loan modification,collection,foreclosure","Other","Other","Other","Bank of America","FL","33414","Servicemember","Other","Referral",2013-09-19,"Closed with non-monetary relief","Yes","No",534341
"3506",2013-09-02,"Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Other","Other","Other","Bank of America","TX","77530","Other","Other","Web",2013-09-03,"Closed with explanation","Yes","No",512626
"3507",2013-09-02,"Mortgage","Conventional fixed mortgage","Application, originator, mortgage broker","Other","Other","Other","Wells Fargo & Company","NM","87110","Other","Other","Web",2013-09-13,"Closed with explanation","Yes","No",512627
"3508",2013-09-02,"Mortgage","Home equity loan or line of credit","Loan servicing, payments, escrow account","Other","Other","Other","JPMorgan Chase & Co.","TX","75006","Older American","Other","Web",2013-09-03,"Closed with monetary relief","Yes","No",511668
"3509",2013-09-02,"Debt collection","I do not know","Cont'd attempts collect debt not owed","Debt is not mine","Other","Other","Encore Capital Group","TX","77532","Other","Other","Web",2013-09-02,"Closed with explanation","Yes","No",511804
"3510",2013-09-19,"Debt collection","Medical","Disclosure verification of debt","Not given enough info to verify debt","Other","Other","Credit Financial Services, lnc","NC","28459","Other","Other","Web",2013-09-19,"Closed with explanation","Yes","Yes",534355
