"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"1179","27-3-15670","Home Furnishing Jumbo Combos-- Extra 40% Cashback","Paytm is Offering Home Furnishing Combos, Buy here for Combos Which Includes Bed sheets, pillow covers, cushion covers, Door mat, pillow covers, Placements, Hand Towel, Face Towel and so on and get Extra 40% Cashback by using the above code, Buy also for Curtains, Wedding Bedroom Sets, Use HNK to get Extra 40% Cash back on orders above Rs 1199, get 35% cash back on orders from Rs 499 to Rs 1199 and get 20% CB on orders less than Rs 499, Use HOME20 to get Extra 20% Cashback on Particular Products on total order value (Max, cash back 1000), Shopping in Paytm is the Easiest Way just Add Money to Your Paytm Wallet and do Favorite Shopping Experience","HNK","Rs. Use HNK to get Extra","covers Door mat pillow covers Placements Hand Towel Face Towel and so","HNK","","using the above code",""
"1180","27-3-15773","Wall Clocks@ Flat 40% OFF","Buy Wall Clocks online at low prices at Paytm, Buy here for a wide range of wall clocks, vintage clocks and get Extra 40% Cashback by Using the above code, Buy Now, # Patymkaro, Add That Glamour Qoutient To Your Wall, Select the Best design of Clocks from Paytm to your house or office purpose, use Code HOME51 to get Flat 51% Cashback on total order value, (Max cash back Rs 5000) Use HNK Code and Get 20% CashBack on purchases less than Rs 499, get 30% cash back for purchases from Rs 499 to Rs 1999 and get 40% Cash back for purchases Rs 1999 & more","Flat 51% Cashback on total order","Rs. 5000) Use HNK Code and","total order value","the Best design of","","Using the above code",""
"1181","27-3-15792","2 in 1 Laptops: Get Extra Flat 20% Cashback","Paytm is Offering 20% Cashback on 2 in 1 Laptops, Buy here for Branded Laptops like Asus, Lenovo, Acer and so on and get Extra 20% Cashback by using the above code, Maximum Cashback is Rs 9000, Max 1 order / user, Get this deal only on Paytm, use Code BIG20 and get 20% cashback, (Max 1 order / user) use Code LAP15 and get 15% cashback, (Max Discount Rs 9000, Max 1 order per user) use Code LAP12 for Selected Laptops and get 12% Cashback, (Max 1 order / user), Buy Now","Now","Rs. 9000 Max 1 order /","2 in 1 Laptops"," Asus Lenovo Acer and so on and get Extra 20% Cashback by using the above code","","using the above code",""
"1182","27-3-15827","Friendship Day Special Gifts@ Get Extra 50% Cashback","Paytm is Offering Extra 50% Cashback on Friendship Day Special Gifts, Give your best buddy a unique surprise on Friendship's Day by Gifting from Paytm and get Extra Discount on Shopping here by Using the Coupon Code given at the listing page, Maximum Cashback is Rs 1000, use Code ARC50 to get 50% Paytm Cash, Gift Now, Extended friendship day Deals from paytm","Now","Rs. 1000","Friendship Day Special Gifts","get 50% Paytm Cash","","Gifting from Paytm and",""
"1183","27-3-15859","Men Accessories@ Rs 199- Get Extra 30% Cashback","Paytm is Offering Sale on Men Accessories which are Under Rs 199, If you are looking for some Trendy Men's Fashion Accessories, Buy Here for stylish Watches, Caps, Cuff links, Sunglasses, Classic ties, Trendy Belts, Wallets, etc, use Code FEST30 to get 30% Cashback on Total Order Value, Get Maximum Cashback of Rs 1000, At Paytm, find all these style elements offered by the top fashion brands and get Extra Cashback by Using the Coupon Code given at the Selected listing page, Enjoy the shopping experience only from Paytm","get 30% Cashback on","Rs. 199","Men Accessories which are Under Rs 199","get 30% Cashback on","","the top fashion brands",""
"1184","27-3-15875","Budget Laptops: Get Extra 12% Cashback","Paytm is Offering Extra 12% Cashback on Budget laptops Which starts at Rs 3500, Buy here for Branded Laptops like Asus, Dell, Hp, Lenovo and so on and get Extra 12% Cashback by Using the above code, Maximum Discount is Rs 9000, Maximum 1 Order per User, Top brands with discount Buy now, use Code GET20 on Selected Laptops and get 20% cashback, (Max 1 order / user), use Code LAP15 for Selected Laptops and get 15% cashback, (Max Discount Rs 9000, Max 1 order per user) use Code LAP18 for Selected Laptops and get 18% cashback, (Max Discount Rs 9000, Max 1 order per user) use Code LAP12 for selected Laptops and get 12% Cashback, (Max 1 order / user)","now","Rs. 3500","Budget laptops Which starts at Rs 3500"," Asus Dell Hp Lenovo and so on and get Extra 12% Cashback by Using the above code","","Using the above code",""
"1185","27-3-15911","Chevera Sunglasses- Get Flat 50% Cashback","Paytm is Offering Special Discounts on Chevera Sunglasses, Buy here for Chevera Sunglasses and get Extra Discounts by Using the above code, use Code SPARK50 to get 50% Paytm Cash back on Minimum Order of Rs 399, (Max 1 item per order, Max.cash back Rs 3000), Awesome designs and Models now in Paytm Try these cool pair of sunglasses Buy Now and Get the Cashback from Paytm to your register Wallet","Now and Get the Cashback from","Rs. 399","Chevera Sunglasses","get 50% Paytm Cash","","Using the above code","and Get the Cashback"
"1186","27-3-15931","Footwear For Him/Her@ Get Flat 40% Cashback on Footwear","Paytm is Offering Footwear at Best Price, Buy Here for Mega Clearance Sale, Branded Sports Shoes, Yepme Women Shoes, Formal Shoes, Women's Sneakers & Sports Shoes, use Code FOOT20 to get Flat 20% cashback on Action Footwear, use Code FOOT15 to get Flat 15% cashback on Globalite Shoes, use Code FOOT20 to get Flat 20% cashback on Catwalk Shoes, use Code FOOT20 to get Flat 20% cashback on Puma Footwear, use Code FOOT20 to get Flat 20% cashback on Red Tape Footwear, use Code FOOT25 to get Flat 25% cashback on Rs 399 Footwear Store, Use the Coupon Code given at the Selected listing page, Hurry Up to get the extra Cashback, Limited period only Hurry Up","Flat 20% cashback on Action Footwear","Rs. use Code FOOT25 to get","Acti","get Flat 20% cashback","","Use Code FOOT15 to get Flat","Limited period only Hurry Up"
"1187","27-3-15953","Winter/Seasonal Wear@ Get Flat 30% Cashback","Paytm is Offering Flat 30% Cashback on Winter Wear and Seasonal Wear, Buy Winter wear for women such as women jackets, women sweaters, sweatshirts and more at Paytm, Buy wide range of winter wear clothes from top brands like Yepme, American Swan, Ladybug, Theo&Ash.etc, use Code STYLE30 to get 30% Paytm Cash (Max.cash back Rs, 5000).use Code STYLE35 to get 35% Cashback (Max.cash back Rs, 5000) use Code STYLE20 for Selected Products to get 20% Paytm Cash (Max.cash back Rs 5000), use Code STYLE25 to get 25% Paytm Cash (Max.cash back Rs 5000), Buy Now for Exclusive Winter Collection only at Paytm","Flat 30% Cashback on Winter Wear","Rs. 5000) use Code STYLE20 for","Winter Wear and Seasonal Wear"," Yepme American Swan Ladybug Theo&Ash.etc","","","for Exclusive Winter Collection"
"1188","27-3-16004","Navratri Special On Bus Tickets: Get 100% Cashback","Paytm is Offering Navratri Special Deal on Bus Ticket Bookings, Get 100% Paytm Cashback Offer on Bus Ticket Bookings of Rs 500 or More, Every 10th successful Bus ticket on Paytm using the above Code will get 100% Cashback, Get Maximum cash back for Lucky Winner is Rs 500, Minimum order value must be Rs 500, If you re Lucky 10th, Cashback will be processed within 24 hours of Bus ticket booking, Valid for all Paytm users, This is Valid for transactions on web, Book Now","Now","Rs. 500 or More","Bus Ticket Bookings","","Lucky Winner is Rs","",""
"1189","27-3-16113","Lunch Box & Tiffins@ Upto 41% Cashback","Buy Lunch & Tiffin Boxes online at low prices in India.Buy from a wide range of Lunch & Tiffin Boxes at Paytm and get Upto 41% Cashback, Use the Coupon Code given at the Selected listing page, Buy for Lunch Boxes and get 41% cashback when you Buy on the Paytm Website, use Code HOME41 to get Flat 41% Cashback on total order value, (Max cash back Rs 5000), use Code HOME51 to get Flat 51% Cashback on total order value, (Max cash back Rs 5000), Use HNK for selected Products to get Extra 20% Cash back on orders above Rs 1199, get 35% cash back on orders from Rs 499 to Rs 1199 and get 20% CB on orders less than Rs 499, Buy Now","Flat 41% Cashback on total order","Rs. 5000)","Code given at the Selected listing page","41% Cashback","","Use the Coupon Code given at",""
"1190","27-3-16136","Snacks and Bhaji Boxes - Flat 50% Cashback","Tea Time Snacks is an important part of the Indian Culture, Buy here and Get Flat Extra 50% Cashback by Using the above Code, use Code DFRR50 to get 50% Cashback, Get Maximum cash back of Rs 1000, Their snack recipes means you can make your own super-tasty and healthy snacks, Buy Now","Flat Extra 50% Cashback by Using","Rs. 1000","get Code DFRR50 to","get 50% Cashback Get","","Using the above Code",""
"1191","27-3-16246","Get Flat Rs 10000 Cashback on LED TVs","Paytm is Offering Discount Sale of Rs 10000 cashback on LED TVs, Buy Here for LED, LCD, HD, 3D & Plasma TVs from LG, Samsung, Panasonic, Sony, Mitashi, Onida and so On, use Code E10K and Get Flat Rs 9999 Cashback, Use the Coupon Code given at the Selected listing page, Own them now, use Code E10K and Get Rs 9999 Cashback, use Code LA20 on Selected TVs and get 20% Cashback, Min cart Rs 2500 (Max Cashback Rs 9999), use Code LA18 On Selected TVs and get 18% Cashback, Min cart Rs 2000 (Max Cashback Rs 9999)","Flat Rs 9999 Cashback","Rs. 10000 cashback on LED TVs","LED TVs","","","Use",""
"1192","27-3-16293","Automotive@ Godrej Offer- Get 30% OFF","A twist and the aroma of this Cool Surf Blue Vehicle Air Freshener will soothe you and bring that instant burst of freshness in your favorite car, Buy Here for Godrej Car Perfumes and Air Purifiers and get Flat 30% Cashback by Using the above Code, use Code CARFRAGRANCE30 to get 30% cashback on total order value.(Max 5 order per user), Get the Cashback to Your registered Paytm Account within 24 Hours of the transaction is Complete, Enjoy the Drive Just plug this easy to use air freshener and your car will smell sweet and serene, Avail it now","Flat 30% Cashback by Using the","it now","total order value.(Max 5 order per user)","get 30% cashback on","","Using the above Code",""
"1193","27-3-16421","Dumbbells & Kettlebells- Get Extra 15% Cashback","Get Extra Discount on Dumbbells and Kettle bells only at Paytm by Using the above code, Dumbbells and kettle bells has benefits for your workout, but not necessarily the same benefits, Dumbbells are an old weight training favorite and kettle bells are the new guys on the block - in popular terms at least, Order now to get the Extra Cashback, Buy here for different Order Values and get Extra Discounts by Using the below Codes, Keep your Health fit, use Code GYM30 to get extra 30% cashback on min order value Rs 499 (Max.cash back Rs 5000), use Code SPO15 to get 15% Cashback on min order value Rs 399 (Max.cash back Rs 10000 Max.) use Code SPO10 to get 10% Cashback on min order value Rs 99 (Max.cash back Rs 1000 Max.) ","now to get the Extra Cashback","Rs. 499 (Max.cash back","Dumbbells and Kettle bells only at Paytm by Using the above code","get the Extra Cashback","old weight training favorite and kettle","Using the above code",""
"1194","27-3-16424","Ethnic Wear For Boys@ Flat 30% Cashback","Paytm is Offering Extra 50% cashback on Ethnic Wear For Boys, Buy Boys Ethnic Wear - Boys Dhoti Kurtas, Sherwanis, Kurta Pyjamas, Boys Indian Wear online Only at Paytm, use Code STYLE30 to get extra 30% paytm cash back (Maximum cash back Rs 5000, Maximum 3 order per user), use Code WEEK50 to get 50% cashback (Max.cash back Rs 5000), Buy Now, Make your kid Look special, Stylish wear for all special occasions and enhances your Child looks even better Buy in Paytm with Extra Cashback Now, Special Festival moments with extra Savings","Now your kid Look special Stylish","Rs. 5000 Maximum 3 order per","Ethnic Wear For Boys","get extra 30% paytm","your kid Look special","","your kid Look special"
