"","coupon_id","title","Description","Discount","MinimumSpendAmount","OfferApplicableOn","BrandsUnderOffer","Validfor","PaymentModeOffer","TermsAndConditions"
"1","100-3-15275","Sitewide Offer: Extra Rs 100 OFF on All Products","Now install homeshop18 mobile app and Buy anything from kitchen appliances to women kurtis and electronics products to footwear for all age groups, Avail Flat Rs 100 OFF on your order now, Use the given Code at check out and avail this early bird and stunning discount, Hurry","Flat Rs 100 OFF on your","Rs. 100 OFF on your order","your order now","women kurtis and electronics","all age groups","Use the given Code at check","install homeshop18 mobile app"
"2","100-3-18005","Avail Flat 5% OFF On Mobiles","Homeshop18 Offers elephantine Flat 5% DISCOUNT on top and renowned branded mobiles in this link, Use the given homeshop18 coupon at checkout to avail this sensational offer, Minimum Purchase Value is Rs 999 and Maximum Discount is Rs 500 on every order, Hurry, Limited Period Offer","Flat 5% DISCOUNT on top and","Rs. Minimum Purchase Value is","top and renowned branded mobiles in this link","and renowned branded mobiles","","Use the given homeshop18 coupon at","Limited Period Offer"
"3","100-3-18862","Flat 62% + Extra Rs 60 OFF On Salwar Suits","Homeshop18, Online Electronics, Fashion & Home Decor Store offers Flat 62% OFF and extra Rs 60 Discount on women unstitched salwar suits (set of 3) of art crepe fabric and available in bright colours here in this link at just Rs 1139, No Code needed, Avail it today","Flat 62% OFF and extra Rs","Rs. 60 Discount on women unstitched","& Home Decor Store offers Flat 62% OFF and extra Rs 60 Discount","offers Flat 62% OFF","","",""
"4","100-3-19239","Flat 10% OFF On Fashion, Footwear & Accessories","Homeshop18 is offering corpulent discount of Flat 10% OFF on fashion, footwear, accessories and clothes etc, in this link by using the shown Promo Code at checkout, Limited Period Sale, Hurry Up","Flat 10% OFF on fashion footwear","","fashion footwear accessories and clothes etc","","","using the shown Promo","Limited Period Sale"
"5","100-4-101160","Upto 70% Off On Women&#8217;s Footwear","Upto 70% Off On Women s Footwear Of categories like sandals, shoes, boots, slippers etc, Coupon Code is not required,  Click to get the offer page.","Up 70% Off On Women s","","get the offer page."," sandals shoes boots slippers etc","","",""
"6","100-4-101630","Upto 68% Off On Power Banks","Shop and get up to 68% off on the  Power Banks on brands like Nokia, Godrej, Sony etc, Coupon Code is not required, click to get the offer page.","68% off on the","","the  Power Banks"," Nokia Godrej Sony etc","","",""
"7","100-4-114043","Upto 76% Off & Get Free Gifts on Kurtas & Pyjamas","Upto 76% Off & Get Free Gifts on Kurtas & Pyjamas, No need to use the coupon code, Click the link to get landing page.","Up 76% Off & Get Free","","Kurtas & Pyjamas","76% Off & Get","","","No need to use the coupon code"
"8","100-4-114749","Upto 42% Off on Televisions","Shop for the television Sets here from the various brands like Mitashi, I Grasp and many more, No need to use the coupon code, Click the link to get landing page.","use the coupon code","","get landing page."," Mitashi I Grasp and many more","","","No need to use the coupon code"
"9","100-4-119955","Upto 28% Off on Sewing Machines","Upto 28% Off  on Sewing Machines On brands like Novel,  Singer,  Usha, No need to use the coupon code, Click the link to get landing page.","Up 28% Off  on Sewing Machines","","get landing page."," Novel  Singer  Usha","","","No need to use the coupon code"
"10","100-4-120826","Upto 45% Off on Water Purifiers","Upto 45% Off  On Categories like Electrical Water Purifiers,  Water Purifier Accessories,  Non-Electrical Water Purifiers, No need to use the coupon code, Click the link to get landing page.","Up 45% Off  On Categories like","","get landing page."," Electrical Water Purifiers  Water Purifier Accessories  Non-Electrical Water Purifiers","","","No need to use the coupon code"
"11","100-4-125068","Upto 60% Off on Home Decors","Upto 60% Off on Home Decors, Choose from various categories like Photo Frames, Mugs, Wall Decors etc, No need to use the coupon code, Click the link to get landing page.","Up 60% Off on Home Decors","","Home Decors Choose from various categories like Photo Frames Mugs Wall Decors etc"," Photo Frames Mugs Wall Decors etc","","","No need to use the coupon code"
"12","100-4-125070","Upto 60% Off on Skin Care Products","Upto 60% Off on Skin Care Products , Choose from various categories like  Creams & Lotions,  Skin Care Combos,  Exfoliators,  Cleansers & Toners,  Facial Kits etc, No need to use the coupon code, Click the link to get landing page.","Up 60% Off on Skin Care","","Skin Care Products  Choose from various categories like  Creams & Lotions  Skin Care Combos  Exfoliators  Cleansers & Toners  Facial Kits etc","  Creams & Lotions  Skin Care Combos  Exfoliators  Cleansers & Toners  Facial Kits etc","","","No need to use the coupon code"
"13","100-4-127864","Upto 55% Off On Remote Controlled Toys","Shop for the various Remote controller toys like cars, racing cars, robots, helicopter, super bikes and many more, No coupon code required, Click to get the offer page.","like cars racing cars","","get the offer page."," cars racing cars robots helicopter super bikes and many more","","",""
"14","100-4-133718","Upto 40% Off on Ceiling Fans","This offer applicable only on the products listed in this catalogue, Choose from various brands like  Havells,  Inalsa,  Kailash,  Khaitan, Luminous,  Nova,  Usha and more.","","","the products listed in this catalogue","  Havells  Inalsa  Kailash  Khaitan Luminous  Nova  Usha and more.","","",""
"15","100-4-135462","Upto 50% Off On Small Home Appliances","Upto 50% Off On Small Home Appliances like vacuum cleaner, roti maker, insect killer, gas stoves, water purifiers etc, No need to use coupon code, Click to get the offer page.","Up 50% Off On Small Home","","get the offer page."," vacuum cleaner roti maker insect killer gas stoves water purifiers etc","","","No need to use coupon code"
"16","100-4-136637","Upto 50% Off on Women Dresses","Shop & get up to 50% Off on Women Dresses , Choose from various brands like Ayaany, Collezioni Moda, Color Cocktail, Colormode, Corsage, Enigma and more, Click to get landing page.","50% Off on Women Dresses","","get up to 50% Off on Women"," Ayaany Collezioni Moda Color Cocktail Colormode Corsage Enigma and more","","",""
"17","100-4-137176","Upto 75% Off on Women Sarees","Upto 75% Off on Women Sarees, Choose from various brands like Aapno Rajasthan, Chhabra 555, Cotton Bazaar, Demarca, Designersareez and more.","Up 75% Off on Women Sarees","","Women Sarees Choose from various brands like Aapno Rajasthan Chhabra 555 Cott"," Aapno Rajasthan Chhabra 555 Cotton Bazaar Demarca Designersareez and more.","","",""
"18","100-4-138189","Upto 60% Off on Home & Kitchen By Mahavir","Upto 60% Off on Home & Kitchen By Mahavir, This offer applicable only on the products listed in this offer page,  Click to get the Landing Page you will find more offers.","Up 60% Off on Home &","","Home & Kitchen By Mahavir This offer applicable only","60% Off on Home","","",""
"19","100-4-138416","Upto 70% Off on Men Fashion Accessories","Upto 70% Off on Men Fashion Accessories, Choose from various categories like  Wallets,  Sunglasses, Ties & Cufflinks,  Gift Combos,  Belts and more, Click to get the landing page.","Up 70% Off on Men Fashion","","Men Fashi","  Wallets  Sunglasses Ties & Cufflinks  Gift Combos  Belts and more","","",""
"20","100-4-140187","Upto 88% Off on Fashion Necklaces","Upto 88% Off on Fashion Necklaces , This offer valid on landing page products, Click the link to get landing page, No coupon code required for this offer.","Up 88% Off on Fashion Necklaces","","Fashi","88% Off on Fashion","valid on landing page products","",""
"21","100-4-145038","Upto 50% Off on Sizzling Silver Jewellery","Upto 50% Off on Silver Jewellery, Choose from various categories like  Silver Pendants, Rings, Earrings, Anklets/Toe Rings, Necklaces, Nose Pins and more, Click the link to get landing page.","Up 50% Off on Silver Jewellery","","Silver Jewellery Choose from various categories like  Silver Pendants Rings Earrings Anklets/Toe Rings Necklaces Nose Pins and more","  Silver Pendants Rings Earrings Anklets/Toe Rings Necklaces Nose Pins and more","","",""
"22","100-4-146761","Upto 75% Off on Men T-Shirts","This offer applicable only on the products listed in this landing page, Click the link to get landing page, No coupon code required for this offer.","get landing page","","the products listed in this landing page","get landing page","","",""
"23","100-4-147589","Upto 80% Off on Bed Sheets","Choose from various brands like   Aapno Rajasthan,  Alliance,  Bianca,  Cenizas,  Deco Window,  Elite Fabs,  Elysia,  Expressions,  Forty Winks and more, Click the link to get landing page.","get landing page.","","get landing page.","   Aapno Rajasthan  Alliance  Bianca  Cenizas  Deco Window  Elite Fabs  Elysia  Expressions  Forty Winks and more","","",""
"24","100-4-157327","Upto 30% Off on Kitchen Appliances","Homeshop18 is offering you with an exciting offer, Shop and get up to 30% off on all kitchen appliances, Shop from the various products like Popup toaster, Sandwich maker, Coffee maker, Blenders and many more, Click to get the landing page.","30% off on all","","all kitchen appliances"," Popup toaster Sandwich maker Coffee maker Blenders and many more","","",""
"25","100-4-157347","Upto 17% Off on Whirlpool Refrigerators","Beat the heat of this summer with Exciting offers on refrigerator, Get upto 17% off on whirlpool refrigerators at Homeshop18, No coupon code required, Click to get the offer page.","","","refrigerator","","","",""
"26","100-4-162969","Sale : Minimum 45% Off on Mobile Accessories","Mobile Accessories Sale : Get minimum 45% off on all the mobile accessories at homeshop18, Shop from the various products like Mobile Climate Docking Station, Climate Zipper Bags, Power Banks, Mobile cases and many more, Click to get the offer page.","get the offer page.","","all the mobile accessories at homeshop18"," Mobile Climate Docking Station Climate Zipper Bags Power Banks Mobile cases and many more","","",""
"27","100-4-163301","Minimum 45% Off on Stylish Cookware","Shop and get Minimum 45% off on stylish cookware combos at Homeshop18, You can get all the Combos Kithcen Utensils at best price, No coupon code required, Click to get the offer page.","get the offer page.","","stylish cookware combos at Homeshop18","get the offer page.","","",""
"28","100-4-163813","Fantastic Fans : All Ceiling Fans Below Rs.2000","Keep the summer heat at bay when you own this ultra modern and super cool ceiling fan from Nova, Shop for the ceiling fans all below Rs.2000, It is simply the perfect pick for any home, No coupon code required, Click to get the offer page.","get the offer page.","Rs. 2000","get the offer page.","get the offer page.","","",""
"29","100-4-165971","Upto 60% Off on Music Systems","Music has pretty much become an integral part of our lives, Now buy music system online at HomeShop18, featuring some of the finest music systems that you can check out, We feature Portable Speakers, HTS, Radios, Docking Stations and Amplifiers, No coupon code required, Click to get the offer page.","Now buy music system online at","","get the offer page.","get the offer page.","","","buy music system online"
"30","100-4-168141","Upto 26% Off on Tea & Coffee Makers","Shop now and get 26% off on all the landing page products with our range of Trendy Tea Makers, you can be guaranteed of fresh tea at all times, No coupon code required, Click to get the offer page.","now and get 26% off on","","all the landing page products with our range of Trendy Tea Makers you can be guaranteed of fresh tea at all times","get the offer page.","","",""
"31","100-4-168210","Upto 69% Off on External Storage Devices","Shop and get upto 69% off on the landing page products like Pen Drives, External Hard Drives, CD/DVD Wallets, Hard Disk Cases and Combos, No coupon code required, Click to get the offer page.","69% off on the","","the landing page products like Pen Drives External Hard Drives CD/DVD Wallets Hard Disk Cases and Combos"," Pen Drives External Hard Drives CD/DVD Wallets Hard Disk Cases and Combos","","",""
"32","100-4-168601","Upto 57% Off on Women&#8217;s Denims","Shop for the women s clothing from the house of Denims  at best offer price, Shop from the various products like Jeans, Leggings, Kurtis, Shorts and Jeggings, No coupon code required to avail this offer, Click to get the offer page.","avail this offer","","get the offer page."," Jeans Leggings Kurtis Shorts and Jeggings","","",""
"33","100-4-169075","Min 25% Off on Household Appliances","Small appliances with Big Happiness, Shop for the various products like Iron Boxes, Sewing Machines, Garment Steamers, Vacuum Cleaner, Geyser, Inverter and many more at best prices, Hurry Up!, Click to get the offer page, No need to use coupon code.","Up","","get the offer page"," Iron Boxes Sewing Machines Garment Steamers Vacuum Cleaner Geyser Inverter and many more at best prices","","","No need to use coupon code."
"34","100-4-169632","Upto 69% Off on Hair Driers","Get yourself flaunt in style with these Hair Driers , Straighteners and Trimmers, Shop and get upto 69% off on all the landing page products, No coupon code required, Click to get the offer page.","69% off on all","","all the landing page products","69% off on all","","",""
"35","100-4-169911","Upto 68% Off on Monsoon Jewellery","Shop and get upto 68% off on the Monsoon Jewellery at homeshop18, Shop from the various items like Necklaces, Chains, Bracelets , Earrings and many more, Hurry Up!, Click to get the offer page.","Up","","the Monso"," Necklaces Chains Bracelets  Earrings and many more","","",""
"36","100-4-171286","Upto 70% Off on Combos of T-Shirt & Shorts","Here are cool and exciting collection of Men s T-shirts and shorts, Shop and get upto 70% off on these combos here at Homeshop18, These combos will definitely go light on your pockets, Hurry up !!","70% off on these","","of Men s T-shirts and shorts","70% off on these","","",""
"37","100-4-175433","Upto 70% Off on Hair Care Products","Shop from the various products like Hair Straighteners, Curlers, Hair oils , Shampoos and many more that give a perfect look to your hair, Shop now and get upto 70% off on the landing page products, No coupon code required, Click to get the offer page.","now and get upto 70% off","","the landing page products"," Hair Straighteners Curlers Hair oils  Shampoos and many more that give a perfect look to your hair","","",""
"38","100-4-175465","Monsoon Magic : Upto 60% Off on Music Electronics","Turn the Music Loud now with these electronics here at Homeshop18, Shop now and get upto 60% off on the products like Head phones, Ear phones, Blue tooth Speakers, Mp3 player and many more, No coupon code required, Click to get the offer page.","now with these electronics here at","","the products like Head phones Ear phones Blue tooth Speakers Mp3 player and many more"," Head phones Ear phones Blue tooth Speakers Mp3 player and many more","","",""
"39","100-4-176001","Upto 52% Off On Tablets","Buy and get up to 52% off on branded tablets like micromax and penta dual core  and many more, No coupon code required to activate this offer, click here to get this offer.","52% off on branded","","branded tablets like micromax and penta dual core  and many more"," micromax and penta dual core  and many more","","",""
"40","100-4-176129","Beauty Delight : Upto 60% Off on Beauty Products","Charm like a princess with these beauty products that will add more colors to your beauty, shop now and get upto 60% off on the landing page products, No coupon code required, Click to get the offer page.","now and get upto 60% off","","the landing page products"," a princess with these beauty products that will add more colors to your beauty","","",""
"41","100-4-176723","Minimum 20% Off on CZ Jewellery","Shop for the CZ Jewellery here at Homeshop18 and get minimum 20% off on the landing page products, shop from the various products like Earrings, Necklaces, Chains, Bangles, Rings and many more, No coupon code required, Click to get the offer page.","get the offer page.","","the landing page products"," Earrings Necklaces Chains Bangles Rings and many more","","",""
"42","100-4-176732","Upto 79% Off on Celebrity Collections","Shop from the cool collection of celebrity styles here at homeshop18 and get upto 79% off on the landing page products, Shop  from the various categories like Salwar suits, dresses, gowns and many more, No coupon code required, Click to get the offer page.","79% off on the","","of celebrity styles here at homeshop18 and get upto 79% off"," Salwar suits dresses gowns and many more","","",""
"43","100-4-177356","Upto 64% Off On Frames","Shop for the Stylish Photo frames to cherish your fond memories, Shop and get upto 64% off on the landing page products, No coupon code required, Click to get the offer page.","frames","","the landing page products","frames","","",""
"44","100-4-178480","Minimum 20% Off on Necklace Sets","Make your fashion Statement with these unique set of Designer jewellery available at Homeshop18, Shop now and get Minimum 20% Off the landing page products like Necklaces, Chains and many more,  No coupon code required, Click to get the offer page.","now and get Minimum 20% Off","","get Minimum 20% Off the landing"," Necklaces Chains and many more","","",""
"45","100-4-180499","Minimum 69% Off on Men&#8217;s Ethnic Wear","Shop for Kurtas & Pyjamas @ Homeshop18 & get minimum 69% discount, No coupon code is required.","","","get minimum 69% discount","","","",""
"46","100-4-180500","Upto 70% Off on Casual Polo T-Shirts","Shop and get Upto 70% Off on Casual Polo T-Shirts for men s @ Homeshop18, This offer valid on landing page products only, No coupon code required.","Up 70% Off on Casual Polo","","Casual Polo T-Shirts for men s @ Homeshop18","70% Off on Casual","valid on landing page products only","",""
"47","100-4-181369","Upto 70% Off on Cookware & Serveware","Upto 70% Off on wide range of Pressure Cookers, Microwave Cookware, Frying Pans, Ladles, Kadhais, Pans and much more, No coupon code required.","Up 70% Off on wide range of","","","70% Off on wide range","","",""
"48","100-4-181643","Upto 26% Off on Cleansers & Toners","HomeShop18 s beauty store comprises Cleansers and Toners suited for all types of skin, The products are carefully sorted according to skin type and brands, Since, skin care is a tender spot,make sure that you only use products from well-renowned brands like Neutrogena, OxyGlow, Biotique, Jovees and many more.","now brands like Neutrogena OxyGlow Biotique","",""," Neutrogena OxyGlow Biotique Jovees and many more.","all types of skin","",""
"49","100-4-182057","Upto 65% Off on Smartphones","Mobile Mania: Buy Smartphones Online for low prices in India @ Shopclues, Find popular Smartphones from Micromax, Xolo, Spice, Celkon and more, Shop now and get 65% Off and get freebies  on every purchase.","now and get 65% Off and","","get 65% Off and","","","",""
"50","100-4-182584","Upto 59% Off On Weighing Scales","Digital weighing machines are more precise when it comes to the outcome and never vary such as the manual kinds. Buy digital weighing scale from Homeshop18  and grab some super awesome deals, Pay the most slashed down prices to avail the best offers.","the outcome and never","","","the outcome and never","","",""
"51","100-4-183623","Upto 48% Off On Onam Jewellery","Onam Special: Shop for pendants and get upto 48% off, No coupon code required, Click the link to get landing page,","48% off No coupon","","get upto 48% off No coupon","48% off No coupon","","",""
"52","100-4-185966","Upto 44% Off On Household Appliances","Shop & get upto 44% off on home & kitchen appliances like washing machines, refrigerators, ac s, mixer grinder etc, No need to use coupon code, Click to get the offer page.","44% off on home","","home & kitchen appliances like washing machines refrigerators ac s mixer grinder etc"," washing machines refrigerators ac s mixer grinder etc","","","No need to use coupon code"
"53","100-4-186443","Upto 72% Off on Car Accessories","Reduce emissions and enhance your car s engine s life by installing Car Air Filters that are a vital inclusion to your list of car accessories, Shop and get upto 72% Off, No coupon code required.","your list of car","","get upto 72% Off No coupon","your list of car","","installing Car Air Filters",""
"54","100-4-188528","Upto 80% Off On Bangles","Shop and get upto 80% Off On Bangles, With an envious style and boatload of shine and glamour,  Pick from your favorite pieces, from embellished bangles, No coupon code required,","80% Off On Bangles","","get upto 80% Off On Bangles","80% Off On Bangles","","",""
"55","100-4-189544","Upto 70% Off on Electronics","Upto 70% Off on Electronics, choose from various categories like Televisions, Music Systems, Telephones, Gaming, Audio & Video Players, TV Accessories, Home Electronics and more.","Up 70% Off on Electronics choose","","Electronics choose from various categories like Televisions Music Systems Telephones Gaming Audio & Video Players TV Accessories Home Electronics and more."," Televisions Music Systems Telephones Gaming Audio & Video Players TV Accessories Home Electronics and more.","","",""
"56","100-4-190366","Upto 60% Off on Women&#8217;s Clothing By Triveni","Look extremely gorgeous when you adorn these elegant & mesmerizing Sarees and Salwar Suits, Shop now at Homeshop18 and get up to 60% discount, No coupon code required.","now at Homeshop18 and get up","","get up to 60% discount No","60% discount No coupon","","",""
"57","100-4-192526","Buy Earrings & Get Free Ring worth Rs. 299","Buy elegant mesmerizing Earrings & Get Free Ring worth Rs, 299, This offer valid on landing page products only, No coupon code required, click the link to get landing page.","get landing page.","Rs","landing page products only No coup","get landing page.","valid on landing page products only","",""
"58","100-4-192810","Upto 47% Off On Cleaning Mops","Find huge collection of exclusive Cleaning Mops at homeshop18, Shop now and get upto 50% off, No need to use any coupon code, click the link to get landing page.","now and get upto 50% off","","get upto 50% off No need","50% off No need","","","No need to use any coupon code"
"59","100-4-192814","Upto 64% Off on Salwar Suits","Shop for Salwar Suits and get upto 64% off, This offer valid on landing page products,  No coupon code required, click the link to get landing page.","64% off This offer","","landing page products  No coup","64% off This offer","valid on landing page products  No","",""
"60","100-4-193260","Season Sale: Best Of The Best Deals On Displayed Products","Shop for clothing, footwear, luggage bags, watches and more, no coupon code required,this offer valid on landing page products, click the link to get offer page.","get offer page.","","code requiredthis offer valid","get offer page.","valid on landing page products click","",""
"61","100-4-194434","Minimum 50% Off on Wedding Jewellery","Shop for Traditional Design Wedding Sets and get minimum 50% off, No coupon code required, Click the link to get landing page.","get landing page.","","get minimum 50% off No coupon","get landing page.","","",""
"62","100-4-194441","Upto 53% Off on Micromax GSM Mobiles","Shop for  Micromax GSM Mobiles and get upto 53% off, This offer valid on landing page products, No coupon code required, Click the link to get landing page.","53% off This offer","","landing page products No coup","53% off This offer","valid on landing page products No","",""
"63","100-4-196310","Super Deals: Great Discounts on listing page Products","HomeShop18 s SuperDeals is a simple enough deal, and all you need to remember is that the clock is slowly ticking on your favourite product, We ve launched free shipping","remember is that the","","your favourite product","remember is that the","","",""
"64","100-4-196327","Get Pendant Set Free Worth Rs.599 on Vendee Jewellery","Buy Vendee Jewellery & Get Pendant Set Free Worth Rs.599, Pick from your favorite pieces, from embellished earrings to pretty pendants, statement rings and necklaces, No coupon code required.","pretty pendants statement rings","Rs. 599 Pick from your favorite pieces","","pretty pendants statement rings","","",""
"65","100-4-197597","Diwali Mela: Buy & Get Chance To Win Bumper Prizes","Diwali Mela: Shop at Homeshop18 & get a chance to win LED TV Every Hour and 1 Toyota Innova, No coupon code required, Click the link to get landing page.","win LED TV Every","","get a chance to win LED","win LED TV Every","","",""
"66","100-4-199251","Navratri Special: Upto 50% Off on Casual Shoes","Navratri Special: Upto 50% Off on Casual Shoes for men s, This offer valid on landing page products, Click the link to get landing page, No coupon code required.","Up 50% Off on Casual Shoes","","Casual Shoes for men s This offer valid","50% Off on Casual","valid on landing page products Click","",""
"67","100-4-93452","Upto 80% Off on Men&#8217;s Clothing","Upto 80% Off on Men s Clothing Choose from various Categories like Jeans, T-Shirts, Winter Wear etc, No need to use the coupon code, Click to get the offer page","Up 80% Off on Men s","","Men s Clothing Choose from various Categories like Jeans T-Shirts Winter Wear etc"," Jeans T-Shirts Winter Wear etc","","","No need to use the coupon code"
"68","100-4-93463","Upto 84% Off on Women&#8217;s Clothing","Shop from the various Categories like Sarees, Salwar Suits many more from the women s Category, Shop now and get upto 84% off on landing page products, No need to use the coupon code, Click to get the offer page.","now and get upto 84% off","","landing page products"," Sarees Salwar Suits many more from the women s Category","","","No need to use the coupon code"
"69","10276-3-1009","The Late Night Show Sale : Extra 20% OFF (9 PM - 9 AM)","Trendin midnight hour sale offer , get Extra 20% off, Select from 1800+ products, Applicable on orders of Rs 1699 & above only, Offer starts from today 9 pm to tomorrow till 9 am, Use the above Code at cart page to get discount, Hurry Up, Order now","now","Rs. 1699 & above only","orders of Rs 1699 & above only","9 pm","","Use the above Code at cart",""
"70","10276-3-10960","ICICI Bank Offer : Extra 13% OFF On Rs 999","Buy anything from Trendin.com on orders of Rs 999 and above & get Extra 13% OFF by paying through ICICI debit and credit card, net banking, Apply Code at check out page and Avail the offer","","Rs. 999 and above & get","orders of Rs 999 and above & get Extra 13% OFF by paying through ICICI debit and credit card net banking","","","paying through ICICI debit",""
"71","10276-3-10961","HDFC Bank Offer : Extra 11% OFF On Orders Of Rs 999","Buy anything from Trendin.com above Rs, 999 or above and get Extra 11% OFF by paying through HDFC bank Cards, Apply Code at check out page and Avail the offer","","Rs","get Extra 11% OFF by paying","","","paying through HDFC bank",""
"72","10276-3-16095","SBI Bank Offer : Flat 13% OFF On Orders Of Rs 999 & Above","Trendin state bank of india offer, Buy anything on orders above Rs 999 and get flat 13% off on your purchase bag, Use the above Code at cart page to Avail the discount","","Rs. 999 and get flat 13%","orders above Rs 999 and get flat 13% off","Avail the discount","","Use the above Code at cart",""
"73","10276-3-17129","Extra 5% OFF on all Products","Get extra 5% off on all products sitewide, Choose from various categories, Use the above Code at cart page to get the discount","","","all products sitewide","get the discount","","Use the above Code at cart",""
"74","10276-3-17473","Indusind Bank Offer : 10% OFF On Rs 1499","Trendin Indusind bank offer : Get flat 10% off on orders of Rs 1499 and above, Use the above discount code to get discount.","code to get","Rs. 1499 and above","orders of Rs 1499 and above","get discount.","","Use the above discount code to",""
"75","10276-3-17896","Yes Bank Offer : Flat 10% OFF On Orders Of Rs 999 & Above","Trendin yes bank offer: Get flat 10% off on orders of Rs 999 & above, Use the above Code at cart page to get the discount.","","Rs. 999 & above","orders of Rs 999 & above","get the discount.","","Use the above Code at cart",""
"76","10276-3-3375","Flat 20% OFF Perfect Fit Clothing By Vanheusen","Get flat 20% off on perfect fitting clothing by van heusen , Available to both men & women, Limited time period offer, No Code needed, Order now","now","to both men &","perfect fitting clothing by van heusen","both men & women","","van heusen","Limited time period offer"
"77","10276-3-4116","Flat 20% OFF Louis Philippe Apparels On Rs 10000+","Buy for Rs 10000 & above Louis philippe apparels and get 20% off on your cart value, Use the above Code at cart page to get the discount, Free Shipping available, Order now","now","Rs. 10000 & above Louis philippe","your cart value","get the discount","","Use the above Code at cart",""
"78","10276-3-9907","Vanheusen Apparels: Buy 1@ 20%, Buy 2 @ 25% OFF","Buy Vanheusen Apparels from trendin and Avail the following offers, buy 1 @ 20% off, buy 2 @ 25% off, select from multiple categories, Available to both men & women, No Code needed at check out page to get the discount","","the following offers buy","get the discount","both men & women","","",""
"79","10276-4-154011","Upto 50% off on Summer Casual&#8217;s","Smart Summer Casual sale from pantaloons - Shop from over 217 styles , Shop from the various categories like T-Shirts, Active Wear, Ethnic Wear, Shirts and Shorts & many more, Click to get the offer page.","get the offer page.","","get the offer page."," T-Shirts Active Wear Ethnic Wear Shirts and Shorts & many more","","",""
"80","10276-4-155899","Flat 50% off on Clothing By People","Shop from the various categories like T-shirts, Shirts, trousers, Dresses, Women s Tees and many more and get flat 50% off on the landing page products, No coupon code required, Click to get the offer page.","get the offer page.","","the landing page products"," T-shirts Shirts trousers Dresses Women s Tees and many more and get flat 50% off on the landing page products","","",""
"81","10276-4-157513","Upto 50% Off On Men & Women Stripes Clothing","Have a casual business meeting, Don t worry, these collection of striped shirts made with pure cotton by Bare Leisure from Pantaloons is the right way to go stylish. Shop for both men and women collection Get  upto 50% off  on the landing products, Click to get the landing page.","by Bare Leisure from","","get to","by Bare Leisure from","","Bare Leisure from Pantaloons",""
"82","10276-4-160534","Upto 50% Off on Geometrical Prints Clothing","Get Up to 50% off on both men s and women s Geometric print Clothing of top brands like Van Heusen, Allen Solly, People and many more, No coupon code required, Click to get the offer page.","Up to 50% off on both","","both men s and women s Geometric print Clothing of top brands like Van Heusen Allen Solly People and many more"," Van Heusen Allen Solly People and many more","","",""
"83","10276-4-168627","Upto 50% Off on Fashion Accessories","Shop and get Upto 50% Off on Fashion  Accessories for both Men & Women from the various top brands like Louis Phillip, Van Heusen, Solly Sport and many more, No coupon code required, click to get the offer page.","Up 50% Off on Fashion  Accessories","","Fashi"," Louis Phillip Van Heusen Solly Sport and many more","","",""
"84","10276-4-168851","Flat 50% Off on University of Oxford","Introductory Offer on University of Oxford, Shop for the Men s clothing like Shirts and T-shirts from the house of University of Oxford and get 50% off on the landing page products, No coupon code required, Click to get the offer page.","Offer on University of","","University of Oxford"," Shirts and T-shirts from the house of University of Oxford and get 50% off on the landing page products","","",""
"85","10276-4-169101","Flat 50% Off on Exclusive Brands","Top Up Bonanza : Shop from over 1166 products at trendin and get flat 50% off on the landing page products, Shop from the Various top brands like pantaloons, People and Peter England, Go grab this offer before it knocks out !!","Up Bonanza : Shop from over","","the landing page products"," pantaloons People and Peter England","","",""
"86","10276-4-169111","Upto 50% Off on Women&#8217;s Wear","Women s Special : Shop from the brands like Allen solly and Van Heusen and get up to 50% off exclusively on women s category, Shop from over 334 products and from different categories like Tops, Tees, Dresses, Blouses and Shirts, No coupon code required to avail this offer, Click to get the landing page.","50% off exclusively on","","women s category"," Allen solly and Van Heusen and get up to 50% off exclusively on women s category","","",""
"87","10276-4-171318","Upto 50% Off on Allen Solly","Allen Solly Offer Zone - Get up to 50% off on the Allen Solly products for both men and women at Trendin, Shop from the various categories like Clothing, Footwear and Accessories from over 623 products and styles, Shop now add new colors to your wardrobe, No Coupon code required, Click to get the offer page.","now add new colors to your","","the Allen Solly products for both men and women at Trendin"," Clothing Footwear and Accessories from over 623 products and styles","","",""
"88","10276-4-174119","Shirts on Sale : Get Min 30% Off","The End of Season Sale : Shop for the shirts from the top brands like Louis Phillips, Van Heusen, Allen Solly, V Dot and many more and get upto 50% off on your favorites, No coupon code required, Click to get the offer page, Hurry Up !!","Up coupon code required Click to","","Sale : Shop for the shirts from the top brands like Louis Phillips Van Heusen Allen Solly V Dot and many more and get upto 50% off"," Louis Phillips Van Heusen Allen Solly V Dot and many more and get upto 50% off on your favorites","","",""
"89","10276-4-174130","Min 40% Off on T-Shirts","Shop for the T-Shirts from the top brands like Louis Phillips, Van Heusen, Allen Solly, V Dot and many more and get upto 50% off on your favourites, No coupon code required, Click to get the offer page, Hurry Up !!","Up coupon code required Click to","","your favourites"," Louis Phillips Van Heusen Allen Solly V Dot and many more and get upto 50% off on your favourites","","",""
"90","10276-4-174137","Upto 50% Off on Dresses","Shop for the dresses from the various top brands like Allen Solly, Pantaloons, Van Huesen and get upto 50% off on your favorites here at Trendin, This offer is for limited period only Hurry Up !, Click to get the offer page.","Up offer is for limited period","","your favorites here at Trendin"," Allen Solly Pantaloons Van Huesen and get upto 50% off on your favorites here at Trendin","","",""
